Registration Number;Room;Course;Days of the Week;Time;Instructor;Credits;Description;
V01107848;B2157;Data Communications (INFO 520);Wednesday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107848;B3158;Systems Development (INFO 530);Monday, Friday, Thursday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107849;B2157;Systems Development (INFO 530);Wednesday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107849;B3158;Data Communications (INFO 520);Friday, Tuesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107849;B2166;Information Systems Management (INFO 640);Wednesday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107849;B2165;Principles of Computer and Information Security (INFO 544);Monday, Wednesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107850;B2155;Data Communications (INFO 520);Friday, Monday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107850;B2175;Data Mining (INFO 614);Tuesday, Monday, Friday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107850;B3158;Analysis of Design of Database Systems (INFO 610);Tuesday, Thursday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107850;B2157;Principles of Computer and Information Security (INFO 544);Friday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107851;B3158;Information Systems Management (INFO 640);Thursday, Wednesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107851;B2177;Analysis of Design of Database Systems (INFO 610);Wednesday, Monday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107851;B2175;Data Mining (INFO 614);Wednesday, Tuesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107851;B2175;Principles of Computer and Information Security (INFO 544);Thursday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107852;B1117;Data Mining (INFO 614);Thursday, Wednesday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107852;B3158;Principles of Computer and Information Security (INFO 544);Monday, Tuesday, Friday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107852;B2157;Information Systems Management (INFO 640);Monday, Thursday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107852;B2166;Analysis of Design of Database Systems (INFO 610);Wednesday, Tuesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107853;B3115;Data Communications (INFO 520);Thursday, Tuesday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
